Large twin | helpers {'median': 3, 'by3': 67.8, 'by4': 78.4, 'nokill12': 9.49, 'cis': 1.2623, 'deaths': 0.0217, 'deaths_se': 0.0015, 'grabs': 0.27}
Large twin | screen {'median': 3, 'by3': 66.1, 'by4': 77.2, 'nokill12': 9.21, 'cis': 0.9199, 'deaths': 0.0104, 'deaths_se': 0.0008, 'grabs': 0.185}
in_reach | as committed | helpers {'median': 2, 'by3': 75.7, 'by4': 84.3, 'nokill12': 4.8, 'cis': 1.0503, 'deaths': 0.0292, 'deaths_se': 0.0013, 'grabs': 0.429} | Large twin 0.0217, +3.8 SE
in_reach | as committed | screen {'median': 2, 'by3': 76.6, 'by4': 86.5, 'nokill12': 2.62, 'cis': 0.707, 'deaths': 0.0145, 'deaths_se': 0.0009, 'grabs': 0.278} | Large twin 0.0104, +3.4 SE
in_reach | Headlong Lunge cannot be lethal | helpers {'median': 2, 'by3': 75.5, 'by4': 84.4, 'nokill12': 4.77, 'cis': 1.0362, 'deaths': 0.0274, 'deaths_se': 0.0013, 'grabs': 0.419} | Large twin 0.0217, +2.9 SE
in_reach | Headlong Lunge cannot be lethal | screen {'median': 2, 'by3': 76.0, 'by4': 85.8, 'nokill12': 2.98, 'cis': 0.7213, 'deaths': 0.0147, 'deaths_se': 0.0008, 'grabs': 0.28} | Large twin 0.0104, +3.8 SE
in_reach | Headlong Lunge Severity 2 | helpers {'median': 2, 'by3': 75.0, 'by4': 84.2, 'nokill12': 4.72, 'cis': 0.9565, 'deaths': 0.0328, 'deaths_se': 0.0014, 'grabs': 0.426} | Large twin 0.0217, +5.4 SE
in_reach | Headlong Lunge Severity 2 | screen {'median': 2, 'by3': 76.1, 'by4': 85.8, 'nokill12': 2.83, 'cis': 0.6453, 'deaths': 0.016, 'deaths_se': 0.001, 'grabs': 0.282} | Large twin 0.0104, +4.4 SE
in_reach | Grab Severity 2 | helpers {'median': 2, 'by3': 76.8, 'by4': 85.6, 'nokill12': 4.39, 'cis': 0.886, 'deaths': 0.0215, 'deaths_se': 0.0011, 'grabs': 0.3} | Large twin 0.0217, -0.1 SE
in_reach | Grab Severity 2 | screen {'median': 2, 'by3': 78.0, 'by4': 87.3, 'nokill12': 2.44, 'cis': 0.5955, 'deaths': 0.0105, 'deaths_se': 0.0007, 'grabs': 0.184} | Large twin 0.0104, +0.1 SE
in_reach | Nape Depth 2 | helpers {'median': 2, 'by3': 89.3, 'by4': 94.6, 'nokill12': 1.73, 'cis': 0.8978, 'deaths': 0.0163, 'deaths_se': 0.001, 'grabs': 0.359} | Large twin 0.0217, -3.0 SE
in_reach | Nape Depth 2 | screen {'median': 2, 'by3': 90.6, 'by4': 95.9, 'nokill12': 0.79, 'cis': 0.6297, 'deaths': 0.0103, 'deaths_se': 0.0008, 'grabs': 0.244} | Large twin 0.0104, -0.1 SE
in_reach | leg Toughness 1 | helpers {'median': 2, 'by3': 78.4, 'by4': 86.7, 'nokill12': 3.72, 'cis': 0.828, 'deaths': 0.0181, 'deaths_se': 0.0011, 'grabs': 0.391} | Large twin 0.0217, -1.9 SE
in_reach | leg Toughness 1 | screen {'median': 2, 'by3': 79.6, 'by4': 88.9, 'nokill12': 2.1, 'cis': 0.5769, 'deaths': 0.0114, 'deaths_se': 0.0007, 'grabs': 0.266} | Large twin 0.0104, +0.9 SE
in_reach | Regeneration 4 | helpers {'median': 2, 'by3': 75.1, 'by4': 85.3, 'nokill12': 4.61, 'cis': 1.0258, 'deaths': 0.0283, 'deaths_se': 0.0013, 'grabs': 0.416} | Large twin 0.0217, +3.3 SE
in_reach | Regeneration 4 | screen {'median': 2, 'by3': 75.9, 'by4': 87.2, 'nokill12': 2.83, 'cis': 0.7044, 'deaths': 0.014, 'deaths_se': 0.0008, 'grabs': 0.272} | Large twin 0.0104, +3.2 SE
in_reach | Lunge and Grab Severity 2 | helpers {'median': 2, 'by3': 76.8, 'by4': 85.8, 'nokill12': 4.01, 'cis': 0.797, 'deaths': 0.0203, 'deaths_se': 0.0011, 'grabs': 0.3} | Large twin 0.0217, -0.8 SE
in_reach | Lunge and Grab Severity 2 | screen {'median': 2, 'by3': 78.2, 'by4': 87.6, 'nokill12': 2.27, 'cis': 0.5251, 'deaths': 0.0099, 'deaths_se': 0.0007, 'grabs': 0.183} | Large twin 0.0104, -0.5 SE
path | as committed | helpers {'median': 2, 'by3': 74.4, 'by4': 85.1, 'nokill12': 2.05, 'cis': 1.1146, 'deaths': 0.0342, 'deaths_se': 0.0015, 'grabs': 0.496} | Large twin 0.0217, +5.9 SE
path | as committed | screen {'median': 2, 'by3': 76.7, 'by4': 86.8, 'nokill12': 1.57, 'cis': 0.7773, 'deaths': 0.0182, 'deaths_se': 0.001, 'grabs': 0.331} | Large twin 0.0104, +6.1 SE
path | Headlong Lunge cannot be lethal | helpers {'median': 2, 'by3': 75.1, 'by4': 85.1, 'nokill12': 2.04, 'cis': 1.107, 'deaths': 0.0311, 'deaths_se': 0.0013, 'grabs': 0.492} | Large twin 0.0217, +4.7 SE
path | Headlong Lunge cannot be lethal | screen {'median': 2, 'by3': 76.3, 'by4': 86.5, 'nokill12': 1.45, 'cis': 0.7704, 'deaths': 0.0178, 'deaths_se': 0.001, 'grabs': 0.337} | Large twin 0.0104, +5.8 SE
path | Headlong Lunge Severity 2 | helpers {'median': 2, 'by3': 75.0, 'by4': 85.4, 'nokill12': 1.88, 'cis': 1.0188, 'deaths': 0.0297, 'deaths_se': 0.0013, 'grabs': 0.492} | Large twin 0.0217, +4.0 SE
path | Headlong Lunge Severity 2 | screen {'median': 2, 'by3': 76.5, 'by4': 86.8, 'nokill12': 1.46, 'cis': 0.7083, 'deaths': 0.0185, 'deaths_se': 0.0011, 'grabs': 0.333} | Large twin 0.0104, +6.0 SE
path | Grab Severity 2 | helpers {'median': 2, 'by3': 76.7, 'by4': 87.1, 'nokill12': 1.35, 'cis': 0.9144, 'deaths': 0.0227, 'deaths_se': 0.0011, 'grabs': 0.346} | Large twin 0.0217, +0.5 SE
path | Grab Severity 2 | screen {'median': 2, 'by3': 78.0, 'by4': 88.1, 'nokill12': 1.08, 'cis': 0.6336, 'deaths': 0.01, 'deaths_se': 0.0007, 'grabs': 0.215} | Large twin 0.0104, -0.4 SE
path | Nape Depth 2 | helpers {'median': 2, 'by3': 89.3, 'by4': 95.1, 'nokill12': 0.59, 'cis': 0.93, 'deaths': 0.0173, 'deaths_se': 0.001, 'grabs': 0.38} | Large twin 0.0217, -2.4 SE
path | Nape Depth 2 | screen {'median': 2, 'by3': 90.8, 'by4': 96.1, 'nokill12': 0.34, 'cis': 0.6532, 'deaths': 0.0101, 'deaths_se': 0.0007, 'grabs': 0.263} | Large twin 0.0104, -0.3 SE
path | leg Toughness 1 | helpers {'median': 2, 'by3': 78.8, 'by4': 88.4, 'nokill12': 1.32, 'cis': 0.8675, 'deaths': 0.0213, 'deaths_se': 0.0011, 'grabs': 0.449} | Large twin 0.0217, -0.2 SE
path | leg Toughness 1 | screen {'median': 2, 'by3': 80.4, 'by4': 89.8, 'nokill12': 0.93, 'cis': 0.5957, 'deaths': 0.0117, 'deaths_se': 0.0008, 'grabs': 0.301} | Large twin 0.0104, +1.1 SE
path | Regeneration 4 | helpers {'median': 2, 'by3': 74.7, 'by4': 86.2, 'nokill12': 1.7, 'cis': 1.0751, 'deaths': 0.0293, 'deaths_se': 0.0013, 'grabs': 0.478} | Large twin 0.0217, +3.8 SE
path | Regeneration 4 | screen {'median': 2, 'by3': 75.9, 'by4': 87.5, 'nokill12': 1.36, 'cis': 0.7618, 'deaths': 0.0171, 'deaths_se': 0.001, 'grabs': 0.327} | Large twin 0.0104, +5.2 SE
path | Lunge and Grab Severity 2 | helpers {'median': 2, 'by3': 77.0, 'by4': 87.1, 'nokill12': 1.47, 'cis': 0.8253, 'deaths': 0.0212, 'deaths_se': 0.0011, 'grabs': 0.343} | Large twin 0.0217, -0.3 SE
path | Lunge and Grab Severity 2 | screen {'median': 2, 'by3': 78.6, 'by4': 88.5, 'nokill12': 1.12, 'cis': 0.5479, 'deaths': 0.0112, 'deaths_se': 0.0007, 'grabs': 0.214} | Large twin 0.0104, +0.8 SE
