
The Exam as it stood: three fixed Trials
  Cadets |  Year 3 Merit | Exam Merit | delta |  Top 10 without | with | delta
       1 |         0.584 |      0.401 | -0.183 |           6.24% | 5.05% | -1.20
       2 |         0.587 |      0.397 | -0.189 |           6.33% | 5.44% | -0.90
       4 |         0.581 |      0.363 | -0.218 |           6.20% | 5.25% | -0.95
       6 |         0.583 |      0.354 | -0.230 |           6.37% | 5.31% | -1.06

The expanded Exam: three Stages, one D66 each
  Cadets |  Year 3 Merit | Exam Merit | delta |  Top 10 without | with | delta
       1 |         0.586 |      0.526 | -0.060 |           6.42% | 6.20% | -0.21
       2 |         0.583 |      0.527 | -0.056 |           6.29% | 6.40% | +0.12
       4 |         0.584 |      0.492 | -0.092 |           6.20% | 6.29% | +0.09
       6 |         0.586 |      0.484 | -0.102 |           6.44% | 6.43% | -0.01
